variant,entry_date,exit_date,days_held,entry_open,exit_open,trade_return
ANT_pup60,2001-10-30,2001-11-19,15,68.6075,73.4454,0.070517
ANT_pup60,2001-12-04,2002-03-14,69,72.8063,74.4163,0.022113
ANT_pup60,2002-03-26,2002-08-13,98,73.0088,58.1816,-0.203087
ANT_pup60,2002-09-03,2002-10-30,42,58.556,57.4895,-0.018213
ANT_pup60,2002-11-13,2002-11-25,9,57.2561,60.5688,0.057857
ANT_pup60,2002-12-06,2003-03-25,74,58.423,56.736,-0.028876
ANT_pup60,2003-04-01,2003-04-25,18,55.7614,59.7187,0.070968
ANT_pup60,2003-05-20,2003-06-09,14,60.7129,64.6047,0.064103
ANT_pup60,2003-06-24,2003-09-05,52,64.4771,67.5755,0.048055
ANT_pup60,2003-10-02,2003-12-22,57,67.1693,72.0287,0.072344
ANT_pup60,2004-02-02,2004-04-14,51,75.2795,74.8192,-0.006115
ANT_pup60,2004-04-22,2004-06-04,31,74.7329,75.065,0.004445
ANT_pup60,2004-07-30,2004-08-31,23,73.5653,73.792,0.003082
ANT_pup60,2004-09-23,2004-10-08,12,74.7286,75.7665,0.01389
ANT_pup60,2004-10-11,2004-11-22,31,75.5188,78.6909,0.042004
ANT_pup60,2004-12-08,2004-12-16,7,79.3893,81.075,0.021233
ANT_pup60,2005-01-19,2005-02-08,15,80.5875,81.0869,0.006197
ANT_pup60,2005-02-24,2005-03-09,10,80.4593,82.3015,0.022895
ANT_pup60,2005-03-14,2005-06-01,56,81.3838,80.9651,-0.005145
ANT_pup60,2005-06-24,2005-07-19,17,81.5367,83.4615,0.023607
ANT_pup60,2005-08-08,2005-09-14,27,83.7608,84.1621,0.004791
ANT_pup60,2005-09-21,2005-12-01,51,83.1884,86.0777,0.034732
ANT_pup60,2005-12-20,2006-01-17,18,86.4241,88.0309,0.018592
ANT_pup60,2006-02-01,2006-02-21,14,87.77,88.6558,0.010092
ANT_pup60,2006-03-08,2006-03-21,10,87.6876,89.877,0.024968
