Date,Open,Close,sma_20,mad,sigma,z,regime,days_in,p_up,base_p_up,price_vel_5,dmad_5,mad_price_contrib_5,mad_sma_contrib_5,price_share_5,sig_cross_up,sig_rollback
2022-07-29,386.3529,390.5332,369.6634,5.3439,2.865,1.8653,2.0,3.0,0.5261,0.1793,0.042775,2.927,3.8828,-1.0759,0.783,False,False
2022-08-01,387.8412,389.3768,371.063,4.7034,2.8809,1.6326,2.0,4.0,0.3273,0.1793,0.038426,2.2374,3.5263,-1.3717,0.72,False,False
2022-08-02,387.8127,386.808,372.3,3.7507,2.8911,1.2973,2.0,5.0,0.129,0.1793,0.043925,2.4819,4.0499,-1.6724,0.7077,False,False
2022-08-03,388.9313,392.8652,373.7788,4.8583,2.9076,1.6709,2.0,6.0,0.3578,0.1793,0.033438,1.3449,3.0784,-1.7771,0.634,False,False
2022-08-04,392.7893,392.5997,374.9722,4.4899,2.9225,1.5363,2.0,7.0,0.2569,0.1793,0.019947,0.0982,1.8679,-1.7716,0.5132,False,False
2022-08-05,388.3246,391.9361,376.1476,4.0283,2.9348,1.3726,2.0,8.0,0.1621,0.1793,0.003592,-1.3156,0.3435,-1.6544,0.1719,False,False
2022-08-08,393.6235,391.4812,377.5108,3.5686,2.9433,1.2124,2.0,9.0,0.0988,0.1793,0.005405,-1.1347,0.5184,-1.647,0.2394,False,False
2022-08-09,390.7513,389.9266,378.9573,2.8132,2.9492,0.9539,1.0,1.0,0.4947,0.2888,0.008063,-0.9375,0.7773,-1.7073,0.3128,False,True
2022-08-10,396.9695,398.1165,380.9081,4.3225,2.9619,1.4593,2.0,1.0,0.2042,0.1773,0.013367,-0.5358,1.262,-1.7908,0.4134,False,False
2022-08-11,400.9603,398.1165,382.9025,3.8215,2.9716,1.286,2.0,2.0,0.1238,0.1773,0.014052,-0.6684,1.3328,-1.9919,0.4009,False,False
2022-08-12,400.0505,404.8564,384.8917,4.9313,2.9881,1.6503,2.0,3.0,0.331,0.1773,0.032965,0.903,3.034,-2.1598,0.5842,False,False
2022-08-15,402.6477,406.5247,387.1151,4.7745,3.0034,1.5897,2.0,4.0,0.2866,0.1773,0.038427,1.2059,3.5238,-2.3625,0.5986,False,False
2022-08-16,405.4535,407.3209,388.8891,4.5251,3.0167,1.5,2.0,5.0,0.2278,0.1773,0.044609,1.712,4.0772,-2.4383,0.6258,False,False
2022-08-17,403.7283,404.4297,390.4001,3.469,3.0237,1.1473,2.0,6.0,0.0806,0.1773,0.015858,-0.8535,1.5069,-2.347,0.391,False,False
2022-08-18,404.6288,405.6052,391.7793,3.4087,3.0303,1.1249,2.0,7.0,0.0751,0.1773,0.01881,-0.4128,1.7834,-2.1885,0.449,False,False
2022-08-19,402.8468,400.1547,393.0614,1.7726,3.0311,0.5848,1.0,1.0,0.3039,0.2908,-0.011613,-3.1587,-1.1541,-2.0416,-0.3611,False,True
2022-08-22,395.3298,391.8225,393.9041,-0.5313,3.0306,-0.1753,-1.0,1.0,0.8155,0.7131,-0.036166,-5.3058,-3.7722,-1.7327,-0.6852,False,False
2022-08-23,391.3959,390.8745,394.9212,-1.0353,3.031,-0.3416,-1.0,2.0,0.7581,0.7131,-0.040377,-5.5604,-4.2511,-1.5432,-0.7337,False,False
2022-08-24,390.647,392.1258,395.5198,-0.8655,3.0313,-0.2855,-1.0,3.0,0.7787,0.7131,-0.030423,-4.3345,-3.1649,-1.3056,-0.7079,False,False
2022-08-25,393.614,397.6616,396.1568,0.3784,3.0313,0.1248,1.0,1.0,0.1355,0.2908,-0.019585,-3.0303,-1.99,-1.1008,-0.6438,True,False
2022-08-26,397.5479,384.2011,395.8402,-3.0294,3.0351,-0.9981,-1.0,1.0,0.4398,0.7131,-0.039868,-4.8021,-4.2782,-0.7233,-0.8554,False,False
2022-08-29,381.2532,381.6608,395.4544,-3.6141,3.041,-1.1884,-2.0,1.0,0.8026,0.6992,-0.025934,-3.0828,-2.7587,-0.4062,-0.8717,False,False
2022-08-30,382.8172,377.4709,394.9875,-4.6405,3.0518,-1.5206,-2.0,2.0,0.6726,0.6992,-0.034291,-3.6052,-3.7157,-0.0176,-0.9953,False,False
2022-08-31,379.1013,374.5987,394.0742,-5.199,3.0667,-1.6953,-2.0,3.0,0.5892,0.6992,-0.044698,-4.3335,-4.9222,0.3859,-0.9273,False,False
2022-09-01,372.428,375.7741,393.2329,-4.6461,3.0768,-1.51,-2.0,4.0,0.6773,0.6992,-0.05504,-5.0245,-6.0953,0.7781,-0.8868,False,False
2022-09-02,379.4331,371.8119,392.2267,-5.4906,3.0911,-1.7763,-2.0,5.0,0.5484,0.6992,-0.032247,-2.4612,-3.5151,0.9719,-0.7834,False,False
2022-09-06,372.6554,370.4089,391.1731,-5.6058,3.1065,-1.8046,-2.0,6.0,0.534,0.6992,-0.029482,-1.9917,-3.208,1.1558,-0.7351,False,False
2022-09-07,370.0962,377.0634,390.5299,-3.5714,3.111,-1.148,-2.0,7.0,0.8155,0.6992,-0.00108,1.0691,-0.1119,1.1822,-0.0865,False,False
2022-09-08,374.7978,379.528,389.6005,-2.654,3.1118,-0.8529,-1.0,1.0,0.5121,0.7112,0.013159,2.5451,1.3333,1.1788,0.5308,False,False
2022-09-09,381.765,385.424,388.9659,-0.919,3.1099,-0.2955,-1.0,2.0,0.7754,0.7112,0.02568,3.7271,2.5267,1.1071,0.6953,False,False
2022-09-12,387.4904,389.5664,388.2014,0.3504,3.1091,0.1127,1.0,1.0,0.1322,0.2908,0.047751,5.841,4.5415,1.0333,0.8147,True,False
2022-09-13,380.9024,372.627,386.5065,-3.7248,3.1151,-1.1957,-2.0,1.0,0.8042,0.7032,0.005988,1.881,0.6175,1.2524,0.3302,False,False
2022-09-14,373.9257,374.049,384.8429,-2.8857,3.1185,-0.9253,-1.0,1.0,0.4796,0.7151,-0.007995,0.6857,-0.8291,1.5204,-0.3529,False,False
2022-09-15,372.4943,369.8022,383.1115,-3.599,3.1248,-1.1518,-2.0,1.0,0.8219,0.7052,-0.025626,-0.9451,-2.7246,1.7547,-0.6083,False,False
2022-09-16,365.6295,366.981,381.1803,-3.8692,3.132,-1.2354,-2.0,2.0,0.7948,0.7052,-0.047851,-2.9502,-5.22,2.1215,-0.711,False,False
2022-09-19,363.8401,369.827,379.6639,-2.6599,3.1349,-0.8485,-1.0,1.0,0.5206,0.7151,-0.05067,-3.0103,-5.4794,2.3085,-0.7036,False,False
2022-09-20,366.5053,365.582,378.3519,-3.493,3.1404,-1.1123,-2.0,1.0,0.8348,0.7052,-0.018906,0.2317,-1.9944,2.2306,-0.472,False,False
2022-09-21,367.5046,359.2048,376.7684,-4.8896,3.1524,-1.5511,-2.0,2.0,0.6653,0.7052,-0.039685,-2.0039,-4.3346,2.2479,-0.6585,False,False
2022-09-22,358.4339,356.1876,374.9715,-5.2736,3.166,-1.6657,-2.0,3.0,0.6091,0.7052,-0.036816,-1.6746,-4.0239,2.2853,-0.6378,False,False
2022-09-23,352.7229,350.2197,372.5994,-6.3902,3.1837,-2.0071,-3.0,1.0,0.98,0.98,-0.045674,-2.521,-5.0918,2.4501,-0.6751,False,False
2022-09-26,348.7539,346.7551,370.7271,-6.9133,3.2053,-2.1568,-3.0,2.0,0.98,0.98,-0.062386,-4.2534,-7.1136,2.5773,-0.7341,False,False
2022-09-27,350.2862,345.8698,368.9376,-6.6695,3.2271,-2.0667,-3.0,3.0,0.98,0.98,-0.05392,-3.1764,-6.0794,2.7219,-0.6907,False,False
2022-09-28,346.8217,352.6754,367.6978,-4.2596,3.2353,-1.3166,-2.0,1.0,0.7655,0.7052,-0.018178,0.63,-1.9303,2.572,-0.4287,False,False
2022-09-29,349.1346,345.3083,366.2333,-6.0598,3.2533,-1.8626,-2.0,2.0,0.5071,0.7052,-0.030544,-0.7862,-3.3415,2.5306,-0.5691,False,False
2022-09-30,344.3659,339.9685,364.443,-7.199,3.2793,-2.1953,-3.0,1.0,0.98,0.98,-0.029271,-0.8088,-3.2324,2.3992,-0.574,False,False
2022-10-03,343.6807,348.9442,363.2996,-4.114,3.2846,-1.2525,-2.0,1.0,0.7877,0.7032,0.006313,2.7993,0.6532,2.1286,0.2348,False,False
2022-10-04,354.4552,359.7568,362.767,-0.8367,3.2834,-0.2548,-1.0,1.0,0.7934,0.7151,0.040151,5.8328,3.8924,1.7152,0.6941,False,False
2022-10-05,355.3976,358.9193,361.8598,-0.8193,3.2798,-0.2498,-1.0,2.0,0.7952,0.7151,0.017704,3.4403,1.7539,1.6265,0.5188,False,False
2022-10-06,357.52,355.2166,360.6442,-1.528,3.2796,-0.4659,-1.0,3.0,0.7103,0.7151,0.028694,4.5318,2.832,1.5734,0.6428,False,False
2022-10-07,351.1905,345.3083,358.6385,-3.8604,3.2832,-1.1758,-2.0,1.0,0.8148,0.7032,0.015707,3.3387,1.6061,1.681,0.4886,False,False
2022-10-10,346.4219,342.6718,356.2937,-3.9752,3.2894,-1.2085,-2.0,2.0,0.8039,0.7032,-0.017976,0.1387,-1.9032,2.0445,-0.4821,False,False
2022-10-11,340.9775,340.5016,354.6874,-4.1662,3.2967,-1.2637,-2.0,3.0,0.7844,0.7032,-0.053523,-3.3294,-5.8906,2.3728,-0.7128,False,False
2022-10-12,340.9109,339.3785,352.9539,-4.0001,3.303,-1.211,-2.0,4.0,0.803,0.7032,-0.054443,-3.1808,-5.9881,2.6242,-0.6953,False,False
2022-10-13,332.3827,348.3351,351.8806,-1.0178,3.3028,-0.3082,-1.0,1.0,0.7707,0.7151,-0.019373,0.5101,-1.9957,2.5159,-0.4423,False,False
2022-10-14,350.7908,340.397,350.5514,-2.9831,3.3059,-0.9023,-1.0,2.0,0.5004,0.7151,-0.014223,0.8773,-1.4859,2.3758,-0.3848,False,False
2022-10-17,346.4695,349.1441,349.5172,-0.1069,3.3061,-0.0323,-1.0,3.0,0.8551,0.7151,0.018888,3.8684,1.8558,1.9409,0.4888,False,False
2022-10-18,357.0537,353.2464,348.9004,1.2303,3.3083,0.3719,1.0,1.0,0.2137,0.2908,0.03743,5.3965,3.5635,1.6382,0.6851,True,False
2022-10-19,351.2095,350.7432,348.4774,0.646,3.3068,0.1954,1.0,2.0,0.1548,0.2908,0.033487,4.6461,3.2192,1.2763,0.7161,False,False
2022-10-20,350.2958,347.8021,348.0581,-0.0736,3.3024,-0.0223,-1.0,1.0,0.8614,0.7191,-0.00153,0.9442,-0.1534,1.099,-0.1225,False,False
2022-10-21,347.526,356.2542,348.3598,2.2159,3.3024,0.671,1.0,1.0,0.3456,0.2888,0.046584,5.199,4.3524,0.6152,0.8762,True,False
2022-10-24,357.7771,360.6135,349.0527,3.2059,3.3042,0.9702,1.0,2.0,0.5114,0.2888,0.03285,3.3127,3.0785,0.1288,0.9598,False,False
2022-10-25,360.5373,366.3719,350.0778,4.4474,3.3118,1.3429,2.0,1.0,0.1291,0.1633,0.037157,3.2171,3.4232,-0.3214,0.9142,False,False
2022-10-26,363.2309,363.6116,350.6246,3.5717,3.3139,1.0778,2.0,2.0,0.0529,0.1633,0.036689,2.9257,3.4127,-0.5905,0.8525,False,False
2022-10-27,364.6111,361.67,351.4427,2.8278,3.3134,0.8534,1.0,1.0,0.4498,0.2928,0.039873,2.9014,3.726,-0.9358,0.7993,False,True
2022-10-28,361.5652,370.2743,352.958,4.6766,3.321,1.4082,2.0,1.0,0.1566,0.1594,0.039354,2.4607,3.6094,-1.2418,0.744,False,False
