ticker,variant,days_in_trade,bh_days,exposure_pct,round_trips,win_rate,avg_trade_return,med_days_per_trade,total_return,deployed_cagr,edge_vs_bh,intrade_sharpe,maxdd,bps_per_day,beat_bh_deployed_cagr,beat_bh_bps,beat_bh_intrade_sharpe
LVS,R1_confirmed,1058,1570,67.4,27,0.741,0.016,26.0,0.1269,0.0289,0.0059,0.283,-0.4916,1.13,True,True,True
LVS,R1_share_ge50,793,1570,50.5,24,0.708,0.0195,20.5,0.238,0.0702,0.0472,0.375,-0.5483,2.69,True,True,True
LVS,ANT_pup50,1267,1570,80.7,27,0.704,0.0218,34.0,0.2215,0.0406,0.0176,0.313,-0.5215,1.58,True,True,True
LVS,ANT_pup60,1266,1570,80.6,27,0.667,0.021,34.0,0.1952,0.0361,0.0131,0.304,-0.5215,1.41,True,True,True
LVS,ANT_pup70,1203,1570,76.6,25,0.64,0.0077,35.0,-0.1487,-0.0332,-0.0562,0.154,-0.5215,-1.34,False,False,False
LVS,ANT_all,1272,1570,81.0,27,0.704,0.022,34.0,0.2287,0.0416,0.0186,0.315,-0.5215,1.62,True,True,True
LW,buy_and_hold,1779,1779,100.0,0,,,,-0.4538,-0.0821,0.0,-0.012,-0.6369,-3.4,False,False,False
LW,R1_confirmed,1275,1779,71.7,18,0.667,0.0141,50.0,-0.2449,-0.054,0.0281,0.075,-0.6195,-2.2,True,True,True
LW,R1_share_ge50,1040,1779,58.5,15,0.733,0.0275,51.0,-0.0927,-0.0233,0.0588,0.166,-0.6105,-0.93,True,True,True
LW,ANT_pup50,1479,1779,83.1,19,0.632,0.0078,55.0,-0.4365,-0.0931,-0.011,-0.016,-0.6144,-3.88,False,False,False
LW,ANT_pup60,1477,1779,83.0,19,0.684,0.0084,55.0,-0.4303,-0.0915,-0.0094,-0.012,-0.6144,-3.81,False,False,False
LW,ANT_pup70,1437,1779,80.8,18,0.667,0.0281,57.0,-0.1017,-0.0186,0.0635,0.156,-0.6175,-0.75,True,True,True
LW,ANT_all,1479,1779,83.1,19,0.632,0.0078,55.0,-0.4365,-0.0931,-0.011,-0.016,-0.6144,-3.88,False,False,False
LYB,buy_and_hold,2514,2514,100.0,0,,,,-0.5017,-0.0674,0.0,-0.018,-0.7127,-2.77,False,False,False
LYB,R1_confirmed,1765,2514,70.2,44,0.614,-0.0053,22.5,-0.4975,-0.0936,-0.0262,-0.072,-0.697,-3.9,False,False,False
LYB,R1_share_ge50,1471,2514,58.5,37,0.595,-0.018,24.0,-0.6387,-0.1601,-0.0927,-0.273,-0.72,-6.92,False,False,False
LYB,ANT_pup50,2086,2514,83.0,45,0.556,-0.0012,40.0,-0.358,-0.0521,0.0153,0.037,-0.7139,-2.12,True,True,True
LYB,ANT_pup60,2083,2514,82.9,45,0.556,-0.002,40.0,-0.3868,-0.0574,0.01,0.022,-0.7139,-2.35,True,True,True
LYB,ANT_pup70,2030,2514,80.7,45,0.578,-0.0036,31.0,-0.4248,-0.0663,0.0011,-0.004,-0.703,-2.72,True,True,True
LYB,ANT_all,2086,2514,83.0,45,0.556,-0.0012,40.0,-0.358,-0.0521,0.0153,0.037,-0.7139,-2.12,True,True,True
LYV,buy_and_hold,1514,1514,100.0,0,,,,0.9916,0.1215,0.0,0.481,-0.6123,4.55,False,False,False
LYV,R1_confirmed,822,1514,54.3,27,0.667,0.0347,27.0,1.1259,0.2601,0.1386,0.76,-0.3971,9.18,True,True,True
LYV,R1_share_ge50,677,1514,44.7,24,0.625,0.0292,26.5,0.7067,0.2202,0.0987,0.681,-0.3884,7.9,True,True,True
